city,province,latitude,longitude
Kohat,Khyber Pakhtunkhwa,33.596714,71.439994
Kot Addu,Punjab,30.469260,70.967878
Kot Mumin,Punjab,,
Kot Radha Kishan,Punjab,31.170479,74.101245
Kotla Qasim Khan,Punjab,32.682827,73.934054
Kotli,Azad Kashmir,33.464939,73.903354
Kotri,Sindh,25.363533,68.306890
Kuchlagh,Balochistan,,
Kulachi,Khyber Pakhtunkhwa,31.929993,70.459226
Kumila,Khyber Pakhtunkhwa,35.262915,73.218897
Kundian,Punjab,32.455955,71.481282
Lahore,Punjab,31.565682,74.314183
Lala Musa,Punjab,32.699529,73.957658
Lalian,Punjab,31.823584,72.798913
Landi Kotal,Khyber Pakhtunkhwa,34.093718,71.146599
Larkana,Sindh,27.556480,68.210151
Liaquatpur,Punjab,28.934929,70.951593
Lodhran,Punjab,29.539040,71.634420
Mach,Balochistan,29.866072,67.325605
Makhdum Rashid,Punjab,,
Malak Abad,Khyber Pakhtunkhwa,34.979951,72.301457
Malakwal,Punjab,32.553072,73.212933
Mandi Bahauddin,Punjab,32.584635,73.491417
Mandi Burewala,Punjab,30.155336,72.681519
Mankera,Punjab,31.387186,71.439218
Mansehra,Khyber Pakhtunkhwa,34.328685,73.199313
Mardan,Khyber Pakhtunkhwa,34.193797,72.045147
Marot,Punjab,29.217111,72.856463
Masho Khel,Khyber Pakhtunkhwa,33.906731,71.499298
Matta,Khyber Pakhtunkhwa,34.633464,73.008628
Mehrabpur,Sindh,27.101868,68.417130
Mian Channun,Punjab,,
Mian Sahib,Sindh,28.151962,68.642009
Mianwali,Punjab,32.579390,71.535317
Mingaora,Khyber Pakhtunkhwa,34.772537,72.360771
Miro Khan,Sindh,27.581776,68.219338
Mirpur Bhtoro,Sindh,,
Mirpur Khas,Sindh,25.526388,69.011239
Mirpur Mathelo,Sindh,28.022468,69.552155
Mithi,Sindh,24.736412,69.797342
Multan,Punjab,30.197838,71.471968
Muridke,Punjab,31.801086,74.254100
Murree,Punjab,33.905683,73.392674
Muzaffarabad,Azad Kashmir,34.373475,73.470241
Muzaffargarh,Punjab,30.074310,71.190622
Nankana Sahib,Punjab,31.454871,73.709097
Nasatta,Khyber Pakhtunkhwa,,
